2026-01-21 11:33:04,625 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-01-21 11:33:04,961 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-01-21 11:33:04,971 | DEBUG    | ITS_App:31 | 成功加载提示词: orchestrator_v1
2026-01-21 11:33:41,565 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-01-21 11:33:41,594 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-01-21 11:33:41,595 | DEBUG    | ITS_App:31 | 成功加载提示词: orchestrator_v1
2026-01-21 11:35:17,389 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-01-21 11:35:17,428 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-01-21 11:35:17,429 | DEBUG    | ITS_App:31 | 成功加载提示词: orchestrator_v1
2026-01-21 11:35:41,305 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-01-21 11:35:41,338 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-01-21 11:35:41,341 | DEBUG    | ITS_App:31 | 成功加载提示词: orchestrator_v1
2026-01-21 11:35:41,377 | INFO     | ITS_App:18 | 应用启动，建立MCP连接...
2026-01-21 11:35:41,377 | ERROR    | ITS_App:23 | MCP连接建立失败: name 'mcp_connect' is not defined
2026-01-21 11:36:18,572 | INFO     | ITS_App:28 | 应用关闭，清理MCP连接...
2026-01-21 11:36:18,572 | ERROR    | ITS_App:33 | MCP连接清理失败: name 'mcp_cleanup' is not defined
2026-01-21 11:36:18,572 | INFO     | ITS_App:62 | 2.启动Web服务器成功...
2026-01-21 11:36:19,894 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-01-21 11:36:19,927 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-01-21 11:36:19,929 | DEBUG    | ITS_App:31 | 成功加载提示词: orchestrator_v1
2026-01-21 11:36:19,977 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-01-21 11:36:31,023 | INFO     | ITS_App:22 | MCP连接建立完成
2026-01-21 11:38:27,798 | INFO     | ITS_App:30 | 用户 root1 发送的待处理任务 你好
2026-01-21 11:39:44,429 | INFO     | ITS_App:29 | 应用关闭，清理MCP连接...
2026-01-21 11:39:44,439 | INFO     | ITS_App:32 | MCP连接清理完成
2026-01-21 11:39:44,440 | INFO     | ITS_App:63 | 2.启动Web服务器成功...
2026-01-21 11:39:48,794 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-01-21 11:39:49,340 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-01-21 11:39:49,343 | DEBUG    | ITS_App:31 | 成功加载提示词: orchestrator_v1
2026-01-21 11:39:49,748 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-01-21 11:39:57,081 | INFO     | ITS_App:22 | MCP连接建立完成
2026-01-21 11:40:54,120 | INFO     | ITS_App:30 | 用户 root1 发送的待处理任务 你好
2026-01-21 11:41:43,713 | INFO     | ITS_App:29 | 应用关闭，清理MCP连接...
2026-01-21 11:41:43,716 | INFO     | ITS_App:32 | MCP连接清理完成
2026-01-21 11:41:43,727 | INFO     | ITS_App:63 | 2.启动Web服务器成功...
2026-01-21 11:41:47,140 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-01-21 11:41:47,193 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-01-21 11:41:47,197 | DEBUG    | ITS_App:31 | 成功加载提示词: orchestrator_v1
2026-01-21 11:41:47,259 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-01-21 11:41:52,148 | INFO     | ITS_App:22 | MCP连接建立完成
2026-01-21 11:42:10,749 | INFO     | ITS_App:30 | 用户 root1 发送的待处理任务 你好
2026-01-21 11:44:03,182 | INFO     | ITS_App:30 | 用户 root1 发送的待处理任务 导航去最近的服务站
2026-01-21 11:44:23,532 | INFO     | ITS_App:56 | [Route] 转交业务专家: 导航去最近的服务站...
2026-01-21 11:44:54,513 | DEBUG    | ITS_App:125 | [Location] Trying IP location for: 61.149.121.237
2026-01-21 11:44:55,387 | INFO     | ITS_App:154 | [Location] IP location success: 61.149.121.237 → (22.217250, 114.197673)
2026-01-21 11:45:02,508 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (22.21724983264529, 114.19767337339287)
2026-01-21 11:46:47,521 | INFO     | ITS_App:29 | 应用关闭，清理MCP连接...
2026-01-21 11:46:47,524 | INFO     | ITS_App:32 | MCP连接清理完成
2026-01-21 11:46:47,536 | INFO     | ITS_App:63 | 2.启动Web服务器成功...
2026-01-21 11:46:50,837 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-01-21 11:46:50,881 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-01-21 11:46:50,885 | DEBUG    | ITS_App:31 | 成功加载提示词: orchestrator_v1
2026-01-21 11:46:50,941 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-01-21 11:46:56,742 | INFO     | ITS_App:22 | MCP连接建立完成
2026-01-21 11:47:35,759 | INFO     | ITS_App:30 | 用户 root1 发送的待处理任务 查看昌平区温都水城附近有哪些商场
2026-01-21 11:48:59,997 | INFO     | ITS_App:29 | 应用关闭，清理MCP连接...
2026-01-21 11:49:00,000 | INFO     | ITS_App:32 | MCP连接清理完成
2026-01-21 11:49:00,004 | INFO     | ITS_App:63 | 2.启动Web服务器成功...
2026-01-21 11:49:03,328 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-01-21 11:49:03,371 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-01-21 11:49:03,373 | DEBUG    | ITS_App:31 | 成功加载提示词: orchestrator_v1
2026-01-21 11:49:03,432 | INFO     | ITS_App:19 | 应用启动，建立MCP连接...
2026-01-21 11:49:04,340 | INFO     | ITS_App:22 | MCP连接建立完成
2026-01-21 11:49:30,615 | INFO     | ITS_App:30 | 用户 root1 发送的待处理任务 查询一下昌平区温都水城附近有哪些商场
2026-01-21 11:49:36,573 | INFO     | ITS_App:56 | [Route] 转交业务专家: 昌平区温都水城附近有哪些商场...
2026-01-21 11:49:39,275 | DEBUG    | ITS_App:92 | [Location] Trying geocode for: '昌平区温都水城'
